date,Const Jobs (Thou),Real Resid Bldg Permits (1992 $MIL),Med Resale Price for SFH ($THOU),Med Resale Price for Condo ($THOU),No. of Resales for SFH (#),No. of Resales for Condo (#),"HNL Const Cost Idx, SFH (Idx (1992=100))","Housing Affordability, SFH (Idx (1992=100))","Housing Affordability, Condo (Idx (1992=100))"
1/1/1972,0.61475,,,,,,,,
1/1/1973,0.706808333,,,,,,,,
1/1/1974,0.862108333,,,,,,,,
1/1/1975,0.867491667,,,,,,,,
1/1/1976,0.807883333,,,,,,,,
1/1/1977,0.683908333,,,,,,,,
1/1/1978,0.7043,,,,,,,,
1/1/1979,0.930816667,,,,,,,,
1/1/1980,1.405258333,,,,40,23,,,
1/1/1981,1.101041667,,,,46,23,,,
1/1/1982,0.806941667,,,,40,27,65.3,,
1/1/1983,1.028258333,,,,63,37,71.525,,
1/1/1984,0.645566667,,,,66,49,74.625,,
1/1/1985,0.764266667,,,,103,111,76.65,,
1/1/1986,0.859733333,,,,178,182,79.3,,
1/1/1987,0.984091667,,,,215,254,82.075,,
1/1/1988,0.989466667,,,,204,268,86.675,,
1/1/1989,1.60275,114.6997922,,,262,281,90.45,,
1/1/1990,1.8,168.5068349,,,282,293,95.1,,
1/1/1991,1.7,66.53035306,,,153,164,98.425,,
1/1/1992,1.7,73.94641987,,,264,94,102.65,,
1/1/1993,2.825,52.90450774,,,193,77,111.475,,
1/1/1994,1.883333333,96.51252475,246875,140625,202,143,121.2,78.91374971,138.5374717
1/1/1995,1.583333333,38.72573966,244687.5,140875,154,101,118.2416667,85.30226834,148.1625468
1/1/1996,1.25,44.3080223,220500,147687.5,184,134,125.55,101.332953,151.291857
1/1/1997,0.991666667,37.48753593,228375,125562.5,214,145,129.2916667,104.1121073,189.3606969
1/1/1998,0.9,39.26224081,228625,124725,336,270,129.15,115.0838128,210.9523888
1/1/1999,0.883333333,63.13978043,234500,126037.5,433,401,129.8,107.2821966,199.6046819
1/1/2000,1.075,71.85984865,257137.5,151070,516,420,135.2349425,92.03044387,156.6457818
1/1/2001,1.070833333,94.14425634,289875,165250,465,370,142.6037458,90.8319273,159.3337666
1/1/2002,1.2625,115.2169014,323750,212024.5,538,472,149.8569115,85.64306812,130.7723556
1/1/2003,1.308333333,99.07040765,368750,290578,680,536,154.6796563,80.85792966,102.6105265
1/1/2004,1.325,80.1105779,495000,380375,699,528,163.098027,60.3026493,78.47469315
1/1/2005,1.475,164.5546138,626875,437250,671,673,175.097813,48.84222065,70.02393841
1/1/2006,1.758333333,124.3659735,678000,446875,476,697,192.4107787,44.8243365,68.00760872
1/1/2007,1.8875,129.525408,644000,574499.75,410,295,207.6153198,49.40319112,55.37975444
1/1/2008,2.0125,126.4140816,596562.5,542750,283,168,219.2391722,58.10409255,63.86498887
1/1/2009,1.595833333,98.1241149,469375,313875,263,161,222.2802246,87.13769753,130.3074688
1/1/2010,1.566666667,30.70608285,493595.5,268750,358,235,221.6085339,86.14365593,158.2144034
1/1/2011,1.35,26.31212468,462250,234385.625,360,289,226.2064646,100.8369751,198.8683894
1/1/2012,1.308333333,34.45479616,459375,292875,423,318,232.1817886,113.3698971,177.8209013
1/1/2013,1.341666667,35.01500846,519737.5,301625,447,349,243.9330983,79.12462673,136.3416019
1/1/2014,1.208333333,39.26776025,542625,344250,467,327,260.2519582,83.06308041,130.9284067
