date,Real Personal Income (2013 $MIL),Real Labor Income (2013 $MIL),Feal Farm Earnings (2013 $MIL),Real NonFarm Earnings (2013 $MIL),Real SS Taxes (2013 $MIL),"Real Dividents, Interest, and Rent (2013 $MIL)",Real Transfer Pmts (2013 $MIL),Resid Pop (Thou),Real Per-Capita Pers Income (2013 $THOU)
1/1/1969,720974.5194,599986.4439,118623.8445,481362.5994,35592.30698,108902.7963,49777.6934,,
1/1/1970,742589.1264,602478.2016,112077.7152,490400.4864,35658.5856,118870.1184,58804.2048,29.8,24919.0982
1/1/1971,792830.8939,637942.154,103537.4865,534404.6675,40425.95523,128263.4708,71625.97246,30.9,25657.95773
1/1/1972,818580.3783,648360.2045,94868.51148,553491.693,43696.56278,135234.4568,84870.96565,31.9,25660.82691
1/1/1973,876969.5812,691648.6533,107465.4319,584183.2214,53868.94129,152468.8293,96185.97528,32.9,26655.61037
1/1/1974,1080332.096,881345.3288,304999.4211,576345.9077,56222.862,158349.0752,108583.9119,32.6,33139.02134
1/1/1975,955398.1711,743108.5296,124212.5045,618896.0251,56626.8198,162067.529,126144.2978,33.4,28604.73566
1/1/1976,977765.2301,768514.6753,96630.69767,671883.9777,61757.75256,156692.0447,137194.1172,34.9,28016.19571
1/1/1977,1021672.126,816452.7323,99497.58561,716955.1467,65824.62548,159948.6054,137161.8998,35.5,28779.4965
1/1/1978,1045081.345,827249.4727,72802.93339,754446.5393,72199.43689,180559.3214,138678.9415,36.8,28398.9496
1/1/1979,1072736.185,847801.9009,81495.89953,766306.0014,76311.25616,195161.8623,140688.9524,38.1,28155.80538
1/1/1980,1195568.308,965591.3217,170534.145,795057.1767,77212.67765,209545.8037,141182.8656,39.4,30344.37329
1/1/1981,1110489.678,848003.7043,71292.55511,776711.1492,81491.05121,225338.8588,156449.8591,40.457,27448.64123
1/1/1982,1131042.397,876342.7177,85382.18985,790960.5279,84470.70128,208660.3657,163519.482,41.804,27055.84148
1/1/1983,1248338.406,944621.5677,99152.7574,845468.8103,89828.82407,253898.8601,173222.6769,42.796,29169.5113
1/1/1984,1241050.943,910921.5221,76745.29283,834176.2292,90440.86997,273163.0835,173706.3471,43.634,28442.29139
1/1/1985,1297266.972,956149.9556,69377.83908,886772.1165,97806.2374,283837.2274,180677.0503,44.357,29246.04847
1/1/1986,1375035.169,1023942.75,66202.28448,957740.4659,107200.0172,299169.6952,184034.7828,45.567,30176.118
1/1/1987,1398849.415,1055170.243,54926.25845,1000243.984,112416.0664,298708.7681,179273.8799,47.203,29634.75659
1/1/1988,1570691.482,1198588.02,55277.22132,1143310.798,128703.4911,337181.8733,181623.964,48.549,32352.70515
1/1/1989,1730603.984,1334782.322,44838.54089,1289943.781,143481.3586,366833.8951,189903.5964,49.847,34718.31773
1/1/1990,1758679.646,1379170.331,45610.74238,1333559.589,151247.9053,346930.213,195704.3641,51.676,34032.81302
1/1/1991,1787602.648,1409665.222,39665.0055,1370000.216,157815.611,341763.3398,203535.6613,53.379,33488.87481
1/1/1992,1847588.012,1377935.812,29585.46019,1348350.351,154387.1013,349303.8445,282717.3286,54.439,33938.68388
1/1/1993,1875077.274,1390629.615,48914.86623,1341714.749,153848.4438,381323.7453,266658.2648,55.461,33808.93373
1/1/1994,1859802.336,1375960.995,48882.10603,1327078.889,152280.3292,367837.1921,272435.5303,56.478,32929.67768
1/1/1995,1901127.402,1386302.722,47316.09094,1338986.631,152793.8403,360757.8228,308141.2666,57.068,33313.37006
1/1/1996,1864899.647,1348998.947,46034.97127,1302963.976,149879.8493,356757.6433,307669.6356,57.688,32327.34099
1/1/1997,1884344.973,1350840.238,37884.07267,1312956.166,149313.8096,374719.1688,304177.1766,57.712,32650.83472
1/1/1998,1921000.947,1363145.465,43127.10363,1320018.362,152625.351,395212.3477,309614.049,57.843,33210.60365
1/1/1999,1972913.999,1404968.454,48183.26984,1356785.184,157635.1398,403420.381,315282.0048,58.264,33861.62981
1/1/2000,2075119.355,1478952.468,44483.50959,1434468.959,166186.9927,442053.8863,311674.0664,58.568,35430.94104
1/1/2001,2110973.831,1511259.145,33365.9552,1477893.19,169673.6109,428122.4114,329914.7424,59.075,35733.79316
1/1/2002,2197602.691,1637428.738,33768.72235,1603660.016,183590.2216,377927.6621,354345.4832,59.981,36638.31365
1/1/2003,2254174.689,1702141.573,30461.24342,1671680.329,195409.2826,373794.8505,361705.067,60.805,37072.1929
1/1/2004,2401445.42,1763842.322,30798.69582,1733043.626,196842.7377,443218.9783,378589.9567,62.095,38673.7325
1/1/2005,2490450.134,1829003.789,26570.87438,1802432.914,207794.0454,466651.4627,388915.8009,62.863,39617.10599
1/1/2006,2539067.766,1846845.592,24827.18107,1822018.411,211795.7827,501939.8853,388651.0893,63.465,40007.37045
1/1/2007,2627163.198,1864525.905,16968.06086,1847557.845,216228.252,560835.5939,404899.022,64.49,40737.52827
1/1/2008,2648927.694,1819644.522,24665.61265,1794978.91,207573.4849,591347.828,432894.7607,65.603,40378.14878
1/1/2009,2591099.226,1745569.658,28010.80361,1717558.855,198843.9231,539863.343,492876.2326,66.518,38953.35437
1/1/2010,2601661.222,1716466.302,30319.21904,1686147.083,205355.301,544164.249,535577.9119,67.217,38705.40521
1/1/2011,2614893.347,1723947.614,31481.23115,1692466.383,187993.1048,530485.4275,537058.0882,67.799,38568.31733
1/1/2012,2670550.957,1758726.086,35575.38605,1723150.7,187790.6479,564266.6212,523445.3111,68.553,38956.00421
1/1/2013,2728398,1821788,41193,1780595,222013,580416,536170,69.679,39156.67561
1/1/2014,,,,,,,,70.475,
